guest asm,,,,,,,,,,operand encoding (Intel syntax),,,,,,operand types (Intel syntax),,,,,host asm,,,,
name,opcode,vec pfx,prefix,escape,width,dst_w,tuple,mask,misc,E_class,dst_e,src1_e,src2_e,src3_e,src4_e,dst_t,src1_t,src2_t,src3_t,src4_t,asm-> IR function,IR,mult,param,IR->asm
VMOVUPD,0x10,EVEX,PFX_66,ESC_0F,W1,W_64,FullVectorMem,MASK_FULL,,E4nb,rG,rmE,,,,Ity_V128,Ity_V128,,,,m_Copy,Iop_INVALID,,,
VMOVUPD,0x10,EVEX,PFX_66,ESC_0F,W1,W_64,FullVectorMem,MASK_FULL,,E4nb,rG,rmE,,,,Ity_V256,Ity_V256,,,,m_Copy,Iop_INVALID,,,
VMOVUPD,0x10,EVEX,PFX_66,ESC_0F,W1,W_64,FullVectorMem,MASK_FULL,,E4nb,rG,rmE,,,,Ity_V512,Ity_V512,,,,m_Copy,Iop_INVALID,,,
VPSRLVW,0x10,EVEX,PFX_66,ESC_0F38,W1,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_INVALID,,1,
VPSRLVW,0x10,EVEX,PFX_66,ESC_0F38,W1,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,NULL,Iop_INVALID,,1,
VPSRLVW,0x10,EVEX,PFX_66,ESC_0F38,W1,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,NULL,Iop_INVALID,,1,
VMOVSD,0x10,EVEX,PFX_F2,ESC_0F,W1,W_64,Tuple1Scalar,MASK_FULL,,E10,rG,mE,,,,Ity_I64,Ity_I64,,,,NULL,Iop_INVALID,,,
VMOVSD,0x10,EVEX,PFX_F2,ESC_0F,W1,W_64,Tuple1Scalar,MASK_FULL,,E10,rG,rV,rE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_INVALID,,,
VMOVSS,0x10,EVEX,PFX_F3,ESC_0F,W0,W_32,Tuple1Scalar,MASK_FULL,,E10,rG,mE,,,,Ity_I32,Ity_I32,,,,NULL,Iop_INVALID,,,
VMOVSS,0x10,EVEX,PFX_F3,ESC_0F,W0,W_32,Tuple1Scalar,MASK_FULL,,E10,rG,rV,rE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_INVALID,,,
